"Variable","Coefficient","Std_Error","CI","P_value"
"prior_vfo_cnt",0.154,0.027,"[0.101, 0.206]","1.02e-08"
"pending_nonvfo",0.633,0.034,"[0.567, 0.698]","1.49e-79"
"pending_misd",0.955,0.028,"[0.9, 1.011]","1.53e-248"
"white",0.128,0.041,"[0.048, 0.208]","1.82e-03"
"nyc",0.174,0.035,"[0.106, 0.242]","5.34e-07"
"age",-0.202,0.014,"[-0.229, -0.175]","5.50e-48"
"prior_nonvfo_cnt",0.058,0.017,"[0.025, 0.091]","5.69e-04"
"pending_vfo",0.608,0.047,"[0.515, 0.7]","6.02e-38"
"prior_misd_cnt",0.102,0.005,"[0.092, 0.113]","6.92e-79"
"black",0.203,0.051,"[0.103, 0.303]","7.26e-05"
"male",0.224,0.03,"[0.166, 0.283]","7.99e-14"
"violent",-0.265,0.06,"[-0.384, -0.148]","9.80e-06"
